"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cayman Islands","CYM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","100853677.175793","117857037.410946","166259458.937676","254201043.280506","345275223.413913","391286104.45831","449319178.202492","494644574.186619","564425528.423841","603540285.857271","773724503.704495","1006866431.35933","1209740932.56846","1397826871.84346","1760173215.77258","1567517927.948","2216668090.93493","2045012935.46408","2397849615.29163","3101541671.62457","3046677514.21395","3021615212.37705","3297345776.17593","3654863658.61172","3798144880.42926","4066760489.35673","4080144892.28222","4750937586.25951","5478096396.60448","5676331305.644","6185759965.42451","7801179504.72435","10650515338.0795","9295562145.93063","9179014881.3713","10180214617.7789","9330649755.93204","10406999169.4356","10664007960.5091","9155939125.99832","",
"Czech Republic","CZE","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5516390722.3246","6414471509.35181","8134975969.90809","8738889453.38352","8033928995.36398","8964198544.87069","9581179865.76505","9679176328.42743","9986008313.27617","10170300246.6995","11437476619.5559","12229211059.4161","12954956924.2151","15341039333.614","18769252079.6545","23695352725.1264","20570454663.2631","21924716061.5254","24885604273.0121","24201798668.7121","23949485338.8092","25049027204.161","22694164094.8266","",
"Germany","DEU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","3440748542.75955","4010309307.36628","4958086986.13127","5800906893.51394","7722209511.99817","12423966824.6218","14262255592.4726","17546168578.0958","20571650150.7158","26422732158.8196","24594310700.0065","25259713827.1414","23377899702.0895","22212752034.0033","23308003738.3487","29965868526.2445","36298756074.9342","37265102319.4841","39782705380.1878","49229923924.078","47936556400.034","54244259341.5489","52821922902.5435","55402114384.2161","69314324680.1508","71506037505.2171","74071669518.238","79332744660.7741","79851208475.2335","79621743287.2283","80999026258.1434","95755287170.0738","110251132863.703","139752527551.311","153049100540.309","175174891089.691","205411193593.91","236268818271.911","217755387432.82","222609324654.999","245154275425.035","247408418615.335","266416715141.958","285839095388.721","259441276316.616","",
"Djibouti","DJI","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32207786.361769","32207786.361769","36124037.114353","33513203.279297","28707918.5915","30525374.041334","31431288.367722","61354595.123818","65045773.99407","69035173.1084114","73626639.507993","78887694.757513","87260368.780279","86956521.739131","94738382.070773","96831550.576466","92386380.9004","130839911.996894","141935955.795883","148817528.598196","151946027.762617","156031082.42695","177660490.319095","193635148.758587","233378347.963088","",
"Dominica","DMA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","2501270.87428174","3000000","3100000","9500000","5600000","3700000","6600000","8200000","11800000","10200000","14037037.037037","16370370.3703704","20225925.9259259","24262962.9629629","32962962.962963","36711111.1111111","41292592.5925926","47470370.3703703","51692592.5925926","61085185.1851851","67151851.8518518","79518518.5185185","84437037.037037","97007407.4074077","87370370.3703703","75152962.9629629","77763359.2592592","76429259.2592592","86223150.3703704","85232698.8888889","98598474.8148146","107545539.25926","110922300.370371","106213508.148148","130823768.518519","142737578.888888","108204410.37037","115002456.296296","","","",
"Denmark","DNK","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","3154784108.5196","3518253144.96589","4034250419.76536","4684495676.46229","5298742808.52024","5862318386.43425","5742531305.03166","5272836908.91934","5018363431.14882","4954613326.03589","5391415225.09778","6268239251.54563","7738801251.11662","9500706445.35183","9443297732.4216","12731038616.4058","14235966000.7727","14034381649.5157","12478923456.911","13578257039.1539","15170749975.8355","16341054825.3998","14043575941.8725","15211581442.603","19981531485.7203","23721283806.3464","25134384298.977","26666607077.5048","31672415257.9208","36304296013.8576","43371484404.4336","52307627187.7102","61594292613.6165","72777881040.1509","56243305225.6999","61211246500.7604","66494396689.4148","65999255621.2573","70376407993.9561","72174792797.9553","61444409742.752","",
"Dominican Republic","DOM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","29000000","36600000","38000000","44500000","58500000","66500000","88400000","109200000","121300000","143600000","150400000","262200000","304900000","317300000","367700000","451100000","497400000","579400000","686900000","847000000","1006400000","1032100000","1086200000","1187200000","1336600000","2240800000","2541300000","2795100000","3039300000","3552400000","3820000000","4264200000","4850600000","4678700000","4699200000","5277000000","5599870000","6111400000","6560000000","6778500000","6812700000","6209900000","5169900000","5445900000","5778100000","6094600000","6693100000","7193700000","",
"Algeria","DZA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","259238642.295103","291989208.071809","439107943.157955","446390181.095881","442559041.765268","500850175.134426","648596725.828725","569092231.717886","510561279.287163","520169136.48946","527038381.769475","447862130.374261","476174308.098227","479597655.970178","374765703.768363","","","","","","","","","","","","","","2465999999.99988","2512000000.00012","2786733276.5214","3412420653.62944","2744716107.26112","3441921707.45485","3527066210.64545","3570235657.68203","3701085660.40298","3468191008.90138","3393396454.30798","",
"East Asia & Pacific (excluding high income)","EAP","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","8353747801.8156","8759446291.5932","9166093701.09956","10188003619.807","11560850069.7728","13205966269.8351","15982433525.5355","18392735918.8371","22799017796.5802","26164082862.2013","33221214650.2446","39191374483.7724","51346975254.4443","62790265822.0406","75941497120.3186","115547130713.523","103653009811.643","107118984332.581","122210176161.034","132564421421.069","149484154100.364","103005998506.552","140962531853.061","146570717798.96","167870873557.096","218449390271.599","246637873386.699","215883515260.215","232067750891.575","336419751262.968","351886170335.193","372936565579.984","446993686292.854","455398585781.943","",
"Early-demographic dividend","EAR","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","18291918959.8948","23218270860.3456","25070282045.489","30382511614.5549","34864191017.1748","38809659258.4712","36646704800.8861","36713106770.069","37682325971.0999","39730214595.7999","38879775743.4696","43687160696.668","49545041066.1285","55107564001.1641","63526940836.93","68090804449.4497","77202485263.2703","83104048758.6162","93271990459.3157","105257912152.346","113952755563.46","133168428198.971","122577901521.261","120888002603.248","135034840573.481","124651221006.031","127742163863.388","147167624412.488","198457123065.021","233120825348.904","263348026465.75","312439215698.228","353755332070.839","325299158775.238","381610396609.374","427667873483.708","453803177222.078","475390658879.085","499912053067.037","500593618198.557","",
"East Asia & Pacific","EAS","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260031922824.377","309890809975.732","281723432053.487","288630618040.622","324117104450.163","324745646562.24","350999348048.437","329706881253.301","423117683246.248","456980738112.815","516442659415.962","634099335470.011","730041518244.872","640704323230.047","736712858530.964","903047380053.064","954289781094.696","1002595122289.9","1130754954486.69","1094141015631.82","",
"Europe & Central Asia (excluding high income)","ECA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27333553944.5572","35048998666.669","38991826558.2547","47073867876.6324","49685212353.9424","40716579695.1446","45842600232.469","43562212586.9985","46948632688.7757","57845579506.7679","74370811666.719","95231965602.4912","108548014219.803","131627251232.858","165759412124.257","140705417911.657","148545872113.153","172599668701.547","183107291138.256","204293923292.303","202631191203.205","175308028515.416","",
"Europe & Central Asia","ECS","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","102468463304.932","112683661179.398","131784046907.936","163342392293.82","199490096345.711","237579792513.288","225059436503.008","218275576669.44","210053804754.829","208398888103.743","220192001721.453","270437220874.401","326623682030.82","355510808371.112","372031067358.821","469723341792.117","480435187035.568","548740473681.214","523659004235.151","556498082924.535","641380578084.063","676001430797.539","689649516616.174","734691656955.224","768003310421.637","796679004393.606","815533442995.665","891155581261.096","1055354712396.67","1279727743888","1418954366386.43","1595123137103.49","1912081347445.99","2149042936382.97","1876123728254.67","1939703442899.21","2188463177985.09","2194619043377.29","2376086878511.33","2530402084438.13","2296402305740.12","",
"Ecuador","ECU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","103900000","183600000","161900000","244000000","347700000","379000000","356000000","297000000","271000000","370000000","414000000","394000000","413000000","486000000","508000000","524000000","584000000","602700000","639830000","694820000","650030000","643060000","635310000","684510000","798313050","807156930","826941379.946265","817840352.61994","945176393.434189","946327287.154537","964820917.346814","1118075708.46306","1357397800.94011","1244871660.83808","1375454284.84365","1489861830.43137","1694256332.41035","1920004874.38164","2223342048.99522","2221181701.5671","",
"Egypt, Arab Rep.","EGY","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","1519786359.79552","1531030785.52799","1706285716.72327","2320571431.88653","2430285717.75755","2698285718.14041","2955428575.65062","2832428573.11454","2918000000","3310571428.57143","3467857142.85714","4218857142.85714","3372363636.36364","4812500000","6140000000","7054000000","7076000000","7693000000","8262000000","9079000000","9096400000","7832000000","9276000000","9687000000","8815200000","9127000000","10837400000","14046400000","14448700000","15833700000","19659600000","24667600000","21302200000","23618000000","19030500000","21335900000","17881400000","20261500000","18092400000","",
"Euro area","EMU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","65974533437.5251","73911346397.6616","88553122937.4513","112604405452.312","136193767113.122","163883513165.694","153787777413.534","148978264939.984","142915113949.313","141068025619.34","147680765774.566","186412885818.595","224856119304.89","241676395641.315","256378316836.361","330441481577.752","337034231383.074","390541421467.909","372266925805.267","387647174821.021","439182555265.508","451689518746.569","446178062114.107","472547174958.073","496422839876.581","489498163137.095","504921701440.672","557806984035.958","655593200694.779","795609761987.367","862486594065.804","962096457617.011","1152290096670.12","1316353792938.21","1163936821455.14","1192446248510.68","1342350772432.2","1325651049418.21","1433156807953.21","1543716705151","1392860402265.62","",
"Eritrea","ERI","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72631037.0990764","107597836.25269","89814721.2545663","48551270.1667938","104805854.710637","156213228.223232","76723273.3691033","43953141.1073926","54117987.5429553","","","","","","","","","","","","","","","","",
"Spain","ESP","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","5354131473.65354","5023470250.24382","6071301238.17126","8078271024.51803","10141854426.5824","11449889380.123","11203847878.2747","11421307187.842","11252356624.4566","12216426909.0115","12637511502.677","17721560417.6129","21417365802.3717","24197375333.3593","24370005315.8899","27649292241.3952","28809878141.9825","33103722662.255","30088075076.5494","33421659959.5004","39970366099.8973","43680554605.4396","42976432596.8122","48271395320.6707","52524960035.6596","52826646196.66","55988948394.1192","60351184284.1716","73833737988.8632","84173461894.8516","92173958560.306","103450085297.71","119892171192.15","132363422595.822","112723026489.299","112897421896.917","130910473206.809","122219004081.826","126470967076.274","133200660902.212","118270704314.604","",
"Estonia","EST","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200247407.321065","335548881.535802","553322976.817339","908831000.312445","1157069042.75852","1390020944.79262","1594587087.92623","1558371390.38467","1576553420.03967","1817163948.74871","1851569172.80326","2396840435.53103","2864494824.59536","3161591681.18294","3479170711.62531","4406596123.00475","5057248798.93081","4568207110.32097","4675577829.61654","5577343746.86477","5947117640.40259","6427668528.99758","7006693532.39339","5721602342.24255","",
"Ethiopia","ETH","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","61884058.0009102","55748792.2974631","69130434.816005","100386473.478448","109951690.874373","107198067.684637","118502415.516185","138695652.202098","202560386.47343","180821256.038648","243671497.584542","227777777.777778","252608695.652174","260579710.144927","233816425.120773","223584927.536232","249620000","265801987.496441","309680065.10134","321153871.767836","318051308.313848","308069218.716739","391797319.284651","386909193.645812","335260213.859647","378071614.339921","588361622.97598","800247263.81794","789100420.845517","858897573.005589","1113737408.98904","1592445666.65937","1516009420.99517","1911327316.52969","2548935524.33277","2536557848.92891","","","","",
"European Union","EUU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","91134001456.7347","100506217697.338","118264021871.564","147548148369.557","180770644560.382","215500781829.117","202370417362.909","195434451134.8","186796207736.965","184896192108.239","194513414134.232","239410519331.724","289696187721.834","313835701905.191","329603032110.023","418436564415.602","427052395884.453","492005131669.312","465849572013.943","496694696365.736","570299656160.499","599396651746.173","604592570633.696","645917867353.471","685803064704.314","689805521259.02","713328042873.447","782590395709.485","928362596004.74","1127320554690.23","1242707162491.92","1402377280908.67","1678942831140.98","1873470913113.67","1632987384253.5","1678065260818.18","1893368964769.81","1882464634218.4","2038216938090.43","2189254417907.09","1995609594350.66","",
"Fragile and conflict affected situations","FCS","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9939513972.17608","15894293799.3371","17844495338.4013","20043352020.0374","21864589224.131","25659562208.6607","34044001154.5965","34652088126.255","37951936604.9363","45155159224.5306","39304409719.2041","42479976342.6066","","","",
"Finland","FIN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","1072225243.50464","1213380894.98584","1417267865.70108","1821826250.89778","2204661375.96966","2676214097.44875","2862846235.20498","2676589643.14861","2489351918.22882","2389024383.75109","2377666899.98688","2644448922.87794","3414785311.57463","3828162916.51989","3986702456.34562","4619211641.29107","3946561606.4658","4405569242.16738","4317346956.48278","5319706531.5949","7305893473.74414","7041525046.76154","6568706014.57718","6017804120.53705","6456779060.88927","7669348942.52636","9148041870.73973","6428677380.74667","7608816449.37893","9487139860.84346","12153679191.0657","18035539048.2637","23666281471.4635","32171561433.179","28348271965.4683","27839397219.4265","29411983015.8961","28617783873.0952","29613543900.1687","28460928511.0843","24952562215.8327","",
"Fiji","FJI","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","171452177.653187","178907483.59005","189275647.802058","206359885.626976","219612128.587018","211528454.847812","230418308.716329","221473710.863192","162478310.096943","200663050.381341","326224719.101124","376593194.492119","382296182.968132","413442308.64127","438325955.473399","488551182.446854","524271154.301967","566236727.713247","615997367.828632","471860346.114807","504664593.513994","411891061.194067","401190618.788787","492779399.712163","610743148.414262","747765031.440551","911108000.376102","849275727.979297","900294999.567209","1096346684.17261","785897117.969079","922452338.76268","1080603420.01175","1113665735.37449","1103934437.4598","1159489436.96293","1173101101.54073","",
"France","FRA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","17262454884.9216","18230833114.6044","22256639479.8172","29218939311.0339","35005034362.8145","42381440078.478","41085739876.5113","35672634821.1996","34463559451.7898","33899747192.5124","35701833916.7004","43684945482.6707","50911219433.3511","53981191539.5558","59138297957.3173","76160573121.5219","79151490744.2948","90682141288.2667","84667581546.1141","80988827406.603","91139505001.2665","90105260363.878","83904915985.9612","89250901566.1699","105811961167.677","96159745386.5083","99897139037.3445","112030117043.514","125209051831.961","141893396139.906","152416834753.492","164531149687.289","195775501769.28","223124568446.623","192817824036.894","200697063832.383","235485362936.303","233455216124.829","253122167262.531","273734094569.63","240708510694.824","",
"Faroe Islands","FRO","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51020000","55500000","53950000","56800000","71240000","77450000","86300434.4864383","132511417.441483","174523433.877348","214443478.795883","251881064.658775","169966538.895287","190680829.834819","206807177.135329","","","","","",
"Micronesia, Fed. Sts.","FSM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29370700","32302300","28676700","29723300","29524200","33420500","","",
"Gabon","GAB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","166979931.125803","181175733.826425","293923375.018981","289292973.86154","151731744.574176","181989454.435445","122117372.67761","118928121.021848","102972544.314101","86678305.6006367","181938304.733869","266011887.89202","214056325.233517","291024421.722469","312061045.207194","285701592.854697","199566035.494612","190530501.680483","204565541.687002","203596429.123662","192654730.267326","248262490.658348","169740206.717717","143306250.6087","67331125.1995692","161870180.995786","133870970.268936","119518118.498244","","","","","","","","","","","",
"United Kingdom","GBR","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","7747193813.09101","8995416729.48961","9925695290.51857","11999661176.6933","14653535573.2629","16002047685.6687","16924496255.7983","19145273286.5456","22632658562.8101","28990739008.533","34295100586.4925","31777268623.111","28840532435.9981","27059691271.6819","26643084869.8594","29454048958.727","34879875252.9572","42011647322.5585","45298806040.7497","44945563276.4159","53830061513.4136","53553353999.9279","61630143812.4438","60067148888.6585","67929705941.2754","77549120045.5758","88594467615.2334","99854448557.6353","110721079717.173","121157786096.929","121694391064.338","125085848882.897","137886387356.583","167774091919.437","206357214469.84","231312751171.781","265054304427.39","311582154582.11","303038394911.434","261415166077.859","265715355922.106","299056803852.121","308347252123.362","331253451367.617","356094134611.708","340500435925.552","",
"Georgia","GEO","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187900000","353600000","216900000","327771487.64","341848792.89","380625949.44","444116212.57","524019263.77","670456604.99","829437304.29","989044492.34","1167030587.92","1240733245.86","1556232030.21","1926753251.35","2465208344.55","2885009954.5","2953599999.28","3065885655.98","",
"Ghana","GHA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","84956988.9990959","104348399.998757","122000559.165421","98039725.2679403","90300067.9999695","102100000","115200000","99309223.9999385","34800000","39200000","31400000","49730000","73100000","70500000","74100000","78900000","94600000","144600000","133400000","136000000","138800000","144400000","151900000","427400000","453800000","489738683.716786","515358600","538800000","612305000","683725000","1082889310","1242883296.20344","1614373796.12949","1558769733.79912","1522020000","1343610000","1678584000","3200185540.8352","2353384041.07462","1977405534.02101","6013912424.08956","",
"Gibraltar","GIB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","52320000","51480000","29700000","64310000","91330000","87370000","83560000","45790000","13980000","16941000","63049000","73882000","66030000","36133661","25400474.5510971","43840985.8069662","20480000","28287136.9607922","30690000","35000000","37790000","44090000","94780000","66860000","60780000","70590000","155900000","100330000","","","",
"Gambia, The","GMB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","12638168.2567194","22272637.2065331","18710238.8548812","17762299.8448133","17885921.7411621","20530023.9028874","22706109.9811656","25760978.6648914","20662902.151687","44029174.9632069","50044546.6987516","45941344.9756632","54574238.7009116","59595970.0573678","69192864.8811298","62962869.0878401","75242875.5603931","38087794.8047427","86518831.4403148","94315125.5698438","","","","","","69941620.9724036","71558575.9835277","82210476.8314975","92079930.235189","127945912.51236","117578077.997501","104194780.566638","130644790.348473","143728382.106519","151464505.778168","","","","",
"Guinea-Bissau","GNB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","1700000","2700000","7000000","5500000","","","","3410000","3680000","9750000","8750000","6800000","2460000","2420000","2860000","5900000","","","","3561886.55141231","6287050.45120315","4962144.60179047","5807473.44228239","4631559.33332082","3425193.87359033","33390209.0066706","43770488.7171871","31850269.8089313","42470257.2499834","43481401.5825107","21395728.516373","37902596.1069182","","","",
"Equatorial Guinea","GNQ","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","6109073.66920415","5868760.96465773","5839973.45207204","4506642.2625519","5841756.96709657","8149100.17568907","8991301.05572386","3364524.85833876","4181121.06881138","4879265.25668214","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","1739000000","2057000000","2616000000","3340000000","3848000000","3850000000","3302000000","2812000000","2678000000","2567000000","3176000000","4291000000","5064000000","4766000000","6514000000","7142350000","8641000000","8153000000","9142000000","9528000000","9262000000","9224000000","","16562000000","19227000000","19468700000","20120666927.7305","24284541792.7949","33091657756.6438","33944864485.8288","35809859723.7175","43193359295.1195","50632057054.8401","37947552535.2921","37537250883.8047","40044224923.3289","34917584149.0417","37009112661.1529","41014831335.0817","30806564859.8536","",
"Grenada","GRD","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","14600000","16400000","19151851.8518518","20600000","18700000","18300000","18600000","21600000","30592592.5925926","42814814.8148148","44259259.2592592","49333333.3333333","52703703.7037037","63018518.5185185","71400000","75133333.3333333","86525925.9259259","100074074.074074","98203703.7037037","105196296.296296","104544444.444445","116192592.592592","140900000","146316307.777778","129136024.814814","128270370.37037","132291111.111111","158590770.37037","114706730","128624660.740741","167367112.962963","165987859.629629","150318481.481482","150247444.074074","156534365.555556","161209727.407407","160699526.296297","","","",
"Greenland","GRL","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","135000000","146300000","189000000","169000000","110600000","69600000","42500000","61200000","51400000","92500000","133700000","134400000","219200000","313300000","422000000","579700000","625300000","658500000","794200000","709600000","754500000","865600000","941000000","1073000000","1341213581.2105","1398338115.49505","1382330830.28306","1014800000","1221400000","1410200000","1619300000","1977161173.95584","1981729213.09567","2168341417.97243","2123051573.63916","2317983986.65406","2417355357.37709","2686605895.53514","2703370361.91385","",
"Guam","GUM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","14509803.9272588","15803921.5748251","16588235.3006229","17764705.8893195","20835555.5629638","17833333.3392777","25800000.0086","23489055.6250731","46709024.6501568","","","","","","","102392000","111855000","117075000","129565000","140100000","148100000","141800000","147000000","169300000","172000000","172300000","156800000","160893000","147866000","147644000","172897000","211880848.717585","170307045.715201","248050307.384227","297598304.335455","297769918.965279","164690000","180840766.25109","142876382.831974","",
"High income","HIC","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","148272494397.168","165017098144.24","190719753763.061","233554915020.745","286257290020.903","342162480731.826","346514350635.473","342936507160.865","333751750216.721","343751160997.84","358265684739.11","429811037615.334","508506860600.951","564506172513.879","612122002741.309","747517710793.397","784264326797.661","879041334851.869","870767373272.638","940732535901.901","1067467932591.24","1134318865414.64","1168946316503.58","1208773178806.39","1287047996922.51","1361544489560.92","1351075262875.68","1442096380406.74","1642272980657.93","1983806161086.59","2181950404632.72","2449695989189.59","2911662370214.31","3249540245227.09","2896835895326.73","3104573550637.17","3471222481153.92","3540692914622.21","3785752360760.33","4047492898432.07","3787510104909.31","",
"Hong Kong SAR, China","HKG","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27154932002.0657","28838980600.5633","31510379748.1852","31099980847.9169","33456984996.4544","33808755034.345","40726351921.5118","47322022290.6793","54380294119.3503","64390230787.7767","69839840993.1427","64602336742.5683","80470778530.6074","91230632366.1054","98426653463.0658","104657380057.486","106564977071.759","104231771225.319","",
"Honduras","HND","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","23849999.9950574","26800000","33600000","41200000","50050000","67550000","73450000","81850000","72900000","79750000","86850000","89250000","94600000","104650000","120200000","133200000","120800000","159000000","185800000","317700000","369400000","408100000","481000000","635600000","768100000","965600000","1207830800","1236811950","1400737970","1370552504.59326","1581056411.34982","1755422612.75559","1810504096.2214","1831243975.8502","2006044302.06624","1840857105.28244","2075779380.76701","2221180248.59308","2209519111.92072","2303911905.28706","2464797495.63693","2634028440.87062","",
"Heavily indebted poor countries (HIPC)","HPC","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","1715459378.31066","1997569985.04732","2510199818.70899","2932671412.43764","3194004122.57089","3001809748.94272","2700693103.01449","2711593595.96516","3096134328.36183","2957218407.64007","3199406124.22249","3232555381.58821","3509335467.19359","3656138183.33887","3523133810.8687","3807970556.27108","4021507463.45854","4256537939.54597","4917012815.30218","5656068646.09822","6147488574.28897","6873139682.78922","7393026074.69957","8173941858.76037","9207391799.42729","10012802904.9831","10089971623.9596","12481551192.7544","14507717654.0308","16202557208.9417","20036720287.1264","23215189897.0568","22165192370.6695","23632755740.2995","29595256263.409","32209804232.6479","32425774352.9246","33447005380.4793","","",
"Croatia","HRV","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2215749941.24163","2660229708.26831","2223480373.92237","3226834781.35543","4024417051.32312","4011748672.89713","3761120067.79857","4451213666.31657","5295122776.84634","5875109769.18221","8889039980.64611","9755338052.46016","10252643362.7183","11170071813.1555","13012363004.1582","15770898949.9261","12625687800.2064","11660923072.4165","13181448257.6163","12254259235.9387","13014665530.1112","13595432728.4062","12480697792.1177","",
"Haiti","HTI","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","12800000.00256","16859937.8717711","19179999.9871289","19739983.6320319","23100000.00462","26040000.005208","32480000.006496","56820000.011364","69940000.013988","84380000.016876","84400000.01688","91180000.018236","96080000.019216","96560000.0080467","105600000","93560000","102120000","84180000","79260000","42700000","48100000","32500000","26300000","6700000","98060000","104080000","172400000","163000000","173000000","158000000","123000000","124770000","114010000","103910000","93260000","139530000","202730000","372577772.63","428610083.9","402210408.51","487154894.4","492795177.6","594998200.61","643316851.493292","676609513.549026","",
"Hungary","HUN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","630020570.278907","582993427.657398","588982084.335467","616008970.578259","724993263.462438","974014741.509084","1026000957.09044","1262918912.78747","2676533715.38218","2353591909.08164","3212528678.72674","2768474495.7862","3045990158.73435","6056521255.49614","6878590049.7963","6849961042.10884","6756452857.52965","6573267800.85354","7269421541.77675","8380194051.02974","8617556115.76427","10385572595.6663","11394447804.4301","12516969352.4135","13471190697.6474","16947153469.1824","20350670458.4141","18426720434.5336","19287070676.2014","22213239399.9622","20492021837.1121","22442720790.5468","24607699039.7517","22006283765.4047","",
