"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Austria","AUT","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","834499999.028373","934961537.361636","1101499998.68675","1360923075.33734","1738638277.39534","2255173025.58713","3069322995.04782","3216444996.41105","3795913620.14668","4362390973.8343","5220897702.51709","6645937920.09265","8185833749.80418","9622671117.07792","8363573775.3439","9447753382.12993","9614889337.22495","9083236162.46733","9061284572.2302","11946012515.7863","14530568352.4348","17313197418.6731","17962593209.5826","22391974550.237","24760073231.0468","26472790087.1281","25785259252.7067","27107405386.3074","23678942367.4791","23962921704.2961","21430552465.6487","22750837305.6767","23088776819.0244","22940330459.0568","23574296233.7895","25962871741.655","32596144163.1484","40261237337.7016","44572072704.6014","45137617842.8914","53872453295.4891","62464876935.3326","53303167111.4229","52177905256.6525","58563506650.5774","57332677246.718","63918718787.5597","66668045770.3371","57643131981.5245","",
"Azerbaijan","AZE","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165954000","139185000","332048000","320333000","236496000","234444000","255860000","318376000","386776000","497877000","683140000","866927000","1379864000","1575676000","2020435000","2396576000","2934415000","4681048000","4106388000","4268861000","4423067000","",
"Burundi","BDI","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","2568548.1281829","2128384.81431325","2953938.78737438","2108337.19149545","5382352.9411765","6545778.3573756","7938843.5420685","6702746.644306","6709778.40019773","6391925.98822542","4328198.3524018","4485598.52021496","3052071.68045107","2489024.21094359","1942109.34900743","2041146.70539588","2330694.56376","3742469.10418937","2247603.03707672","3990008.1751294","6522327.0400031","5575281.1282674","6552822.502261","3250088.3802622","2465250.6579326","7285079.9445866","19587044.8982616","12699985.1387061","28105946.6515627","30424843.6442631","19278918.5899427","",
"Belgium","BEL","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37508928519.5333","44876092559.4886","52005572260.9309","55219263615.6033","58235631950.4516","71759389008.2558","94828973772.8412","90406330620.1107","96679091002.0168","103202433083.467","104357829901.736","111340856919.597","123157863280.445","111262141188.875","",
"Benin","BEN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","18225654.0475606","23153062.6112555","23042429.8425862","25236111.6486522","27630569.8134125","35642823.400933","52234112.1853378","56817125.3459905","39874469.4977019","43367811.4491734","50760182.2711654","26487827.815085","57174884.3920137","74200622.452752","89310589.4856182","78324607.9807632","109477249.055772","122671933.65141","124518779.601555","115578831.277026","114116830.235331","159454574.771586","122722513.441205","102419285.354938","127022246.953929","154733042.573224","126300556.955899","133306775.9163","140602092.678459","162745954.782995","203925984.814381","179184281.141827","196488704.053835","280960427.244748","328319058.729865","203570077.916338","347742763.137306","390805981.80899","413939407.210234","499688185.750509","456334863.443408","","",
"Burkina Faso","BFA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59548619.999839","55323287.758359","78254953.9476016","114904859.559016","141986333.175441","264781110.950109","393819336.566912","407862746.868724","458100402.488703","426647694.97298","","",
"Bangladesh","BGD","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","47271729.8995412","52502364.4503524","79443429.6506932","97498046.5980508","171718372.06694","186692770.706943","182180829.70506","164158618.020559","175536992.255824","207380336.407486","188693028.079703","211295681.361733","232376645.93077","267895878.524946","295623196.956884","344284220.351497","392688655.80581","434871784.881135","418803663.978242","468517965.759075","223402371.706079","266677486.082494","252282750.539413","266793593.643847","283923140.100823","244322182.878194","352350930.13833","499933347.651658","476839317.238989","650557659.27162","922472827.739342","1021197581.24562","1099973227.90031","967842118.73226","1236301534.34939","1418749499.38022","1351755630.72969","1525592220.82004","1639436522.30559","1665337081.80133","",
"Bulgaria","BGR","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","1211000000","1284000000","1207000000","1059000000","1273000000","1047000000","958000000","1158000000","1186000000","1223000000","837000000","399900000","1070300000","1171300000","1256900000","1431400000","1366000000","1430000000","1766223305.22457","1759557265.88308","2128795756.57992","2100175191.8249","2148627606.51168","2914905782.01467","3974679118.23113","4351796923.96332","5234331690.83866","6761485336.57404","7939473382.72556","6880968064.79072","6558920000","7449260000","7394790000","7802210000","8953000000","7855850000","",
"Bahrain","BHR","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","153729456.77302","198433178.866066","251990396.188526","359785265.390546","305541544.161775","324668232.883519","348138298.79824","543617022.722386","357446809.461294","798138298.756802","875265957.446809","731382978.723404","859840425.531915","896010638.297872","807446808.510638","358510638.297872","411170212.765957","542819148.93617","651861720.909136","818617097.477655","683244733.850988","666223461.841124","637234101.870196","724734114.833855","858938914.967803","981175733.776596","1030580533.51064","1160828532.35816","1349279139.62766","2778483776.41843","3154904509.21987","3462270455.58511","3680851063.82979","3915691489.3617","3831117021.2766","4233244680.85106","3295744680.85106","3085106382.97872","3301595744.68085","3335106382.97872","","",
"Bahamas, The","BHS","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","428700000.4287","506400000.5064","565200000.5652","642000000.642","731000000.731","774000000.774","774600000.7746","875200000.8752","899300000.406634","1103800000","1204700000","1247500000","1256600000","1442000000","1465100000","1313100000","1361200000","1433800000","1489900000","1522600000","1558300000","1573100000","1516700000","1777900000","1945800000","1776100000","2035478178","2028170000","2210790000","2459725945","2403190000","2566460000","2493364562.6","2311237000","2456173000","2445677000","2647885000","2630680000","2671078990.289","2691490645.62","",
